Время    эдс
мс       мв
    
1.354980469  0.00073668
1.356506348  0.000735358
1.358032227  0.000734032
1.359558105  0.000732701
1.361083984  0.000731368
1.362609863  0.000730037
1.364135742  0.000728704
1.365661621  0.000727373
1.3671875  0.000726045
1.368713379  0.000724726
1.370239258  0.000723416
1.371765137  0.000722109
1.373291016  0.000720802
1.374816895  0.000719493
1.376342773  0.000718185
1.377868652  0.00071688
1.379394531  0.000715583
1.38092041  0.000714294
1.382446289  0.00071301
1.383972168  0.00071173
1.385498047  0.000710452
1.387023926  0.000709176
1.388549805  0.000707898
1.390075684  0.000706612
1.391601563  0.000705316
1.393127441  0.000704016
1.39465332  0.000702714
1.396179199  0.000701418
1.397705078  0.000700135
1.399230957  0.000698867
1.400756836  0.00069761
1.402282715  0.000696361
1.403808594  0.000695118
1.405334473  0.000693882
1.406860352  0.000692651
1.40838623  0.000691424
1.409912109  0.000690196
1.411437988  0.000688965
1.412963867  0.000687732
1.414489746  0.0006865
1.416015625  0.000685271
1.417541504  0.000684044
1.419067383  0.000682817
1.420593262  0.000681585
1.422119141  0.000680345
1.42364502  0.000679104
1.425170898  0.000677866
1.426696777  0.000676636
1.428222656  0.000675416
1.429748535  0.000674205
1.431274414  0.000673004
1.432800293  0.000671809
1.434326172  0.000670617
1.435852051  0.000669423
1.43737793  0.000668227
1.438903809  0.000667029
1.440429688  0.000665831
1.441955566  0.000664632
1.443481445  0.000663435
1.445007324  0.00066224
1.446533203  0.000661051
1.448059082  0.000659869
1.449584961  0.000658692
1.45111084  0.000657519
1.452636719  0.000656348
1.454162598  0.000655176
1.455688477  0.000654006
1.457214355  0.00065284
1.458740234  0.000651679
1.460266113  0.000650521
1.461791992  0.000649367
1.463317871  0.000648216
1.46484375  0.00064707
1.466369629  0.000645929
1.467895508  0.00064479
1.469421387  0.000643647
1.470947266  0.0006425
1.472473145  0.000641351
1.473999023  0.000640204
1.475524902  0.000639061
1.477050781  0.000637925
1.47857666  0.000636792
1.480102539  0.00063566
1.481628418  0.000634525
1.483154297  0.000633388
1.484680176  0.000632249
1.486206055  0.000631107
1.487731934  0.000629964
1.489257813  0.000628821
1.490783691  0.000627677
1.49230957  0.000626536
1.493835449  0.000625398
1.495361328  0.000624267
1.496887207  0.000623144
1.498413086  0.000622024
1.499938965  0.000620904
1.501464844  0.000619783
1.502990723  0.000618662
1.504516602  0.000617544
1.50604248  0.000616423
1.507568359  0.000615302
1.509094238  0.000614181
1.510620117  0.000613064
1.512145996  0.000611953
1.513671875  0.00061085
1.515197754  0.000609749
1.516723633  0.000608649
1.518249512  0.000607549
1.519775391  0.00060645
1.52130127  0.000605355
1.522827148  0.000604267
1.524353027  0.000603182
1.525878906  0.000602104
1.527404785  0.000601031
1.528930664  0.000599962
1.530456543  0.000598892
1.531982422  0.000597818
1.533508301  0.000596741
1.53503418  0.000595664
1.536560059  0.000594591
1.538085938  0.000593519
1.539611816  0.000592448
1.541137695  0.000591376
1.542663574  0.000590308
1.544189453  0.000589248
1.545715332  0.000588197
1.547241211  0.000587154
1.54876709  0.000586116
1.550292969  0.00058508
1.551818848  0.000584048
1.553344727  0.000583017
1.554870605  0.000581987
1.556396484  0.000580959
1.557922363  0.000579932
1.559448242  0.000578905
1.560974121  0.000577878
1.5625  0.000576849
1.564025879  0.000575821
1.565551758  0.000574793
1.567077637  0.000573764
1.568603516  0.000572734
1.570129395  0.000571705
1.571655273  0.000570683
1.573181152  0.000569671
1.574707031  0.000568668
1.57623291  0.000567669
1.577758789  0.000566669
1.579284668  0.000565667
1.580810547  0.000564666
1.582336426  0.000563662
1.583862305  0.000562654
1.585388184  0.000561638
1.586914063  0.000560614
1.588439941  0.000559585
1.58996582  0.000558558
1.591491699  0.000557534
1.593017578  0.000556512
1.594543457  0.000555495
1.596069336  0.000554486
1.597595215  0.000553485
1.599121094  0.000552488
1.600646973  0.000551493
1.602172852  0.000550496
1.60369873  0.000549499
1.605224609  0.000548507
1.606750488  0.000547525
1.608276367  0.000546554
1.609802246  0.000545591
1.611328125  0.000544631
1.612854004  0.000543666
1.614379883  0.000542694
1.615905762  0.000541718
1.617431641  0.000540745
1.61895752  0.000539777
1.620483398  0.000538818
1.622009277  0.000537868
1.623535156  0.000536928
1.625061035  0.000535998
1.626586914  0.000535075
1.628112793  0.000534154
1.629638672  0.000533233
1.631164551  0.000532311
1.63269043  0.000531388
1.634216309  0.000530466
1.635742188  0.000529545
1.637268066  0.000528626
1.638793945  0.000527707
1.640319824  0.000526791
1.641845703  0.000525882
1.643371582  0.000524983
1.644897461  0.00052409
1.64642334  0.000523194
1.647949219  0.000522287
1.649475098  0.000521369
1.651000977  0.000520443
1.652526855  0.000519515
1.654052734  0.000518587
1.655578613  0.000517661
1.657104492  0.000516736
1.658630371  0.000515812
1.66015625  0.00051489
1.661682129  0.000513973
1.663208008  0.00051306
1.664733887  0.000512151
1.666259766  0.000511243
1.667785645  0.000510337
1.669311523  0.000509436
1.670837402  0.000508542
1.672363281  0.00050765
1.67388916  0.000506755
1.675415039  0.000505856
1.676940918  0.000504952
